2026-03-12T13:34	MOM_3M_WEIGHT 0.0→0.1, MOM_1M 1.0→0.9	val_sharpe=1.7705	val_return=+89.84%	val_max_dd=-17.6%
2026-03-12T13:36	SIGNAL_BULLISH_THRESHOLD 0.2→0.25 (stricter bull filter)	val_sharpe=1.7875	val_return=+90.78%	val_max_dd=-17.59%
2026-03-12T13:38	SIG_BULL 0.25→0.28 + SIG_BEAR -0.2→-0.15 + VOL_Z_BEAR 2.0→1.5	val_sharpe=1.8464	val_return=+94.23%	val_max_dd=-17.55%	OOS=2.359
2026-03-12T13:42	BOLLINGER_WINDOW 20→30 + RISK_EXTREME_VOL_MULT 0.60	val_sharpe=1.8589	val_return=+94.96%	OOS=2.35
2026-03-12T13:57	MA_WINDOW 50→63 (quarterly lookback)	val_sharpe=1.8606	val_return=+95.06%	OOS=2.359
2026-03-12T13:58	MOM_CONFIDENCE_SCALE 15→18	val_sharpe=1.8731	val_return=+95.78%	OOS=2.36
2026-03-12T14:01	VOL_LOW_REGIME 0.95→0.90 (tighter low-vol)	val_sharpe=1.8745	val_return=+95.86%	OOS=2.36
2026-03-12T14:01	VOL_HIGH_REGIME 1.2→1.25	val_sharpe=1.8747	val_return=+95.88%	OOS=2.36
2026-03-12T14:03	EMA_LONG 55→50	val_sharpe=1.8748	val_return=+95.89%	OOS=2.36
2026-03-12T14:03	STRATEGY_WEIGHTS trend 0.32 mr 0.16	val_sharpe=1.8781	val_return=+96.21%	OOS=2.37
2026-03-11T15:00	RISK_EXTREME_VOL_MULT 0.60→0.65	val_sharpe=1.8819	val_return=+96.44%	OOS=2.37
2026-03-11T15:05	SIGNAL_BULLISH_THRESHOLD 0.28→0.30	val_sharpe=1.8822	val_return=+96.46%	OOS=2.37
2026-03-11T15:10	MOM_CONFIDENCE_SCALE 18→20	val_sharpe=1.8855	val_return=+96.55%	OOS=2.37
2026-03-11T15:12	EMA_LONG 50→48	val_sharpe=1.8901	val_return=+96.92%	OOS=2.37
2026-03-11T15:15	RISK_EXTREME_VOL_MULT 0.65→0.70	val_sharpe=1.8944	val_return=+97.18%	OOS=2.37
2026-03-11T15:18	STRATEGY_WEIGHTS trend 0.34 mr 0.14	val_sharpe=1.8950	val_return=+97.21%	OOS=2.38
2026-03-11T15:25	RISK_EXTREME_VOL_MULT 0.70→0.75	val_sharpe=1.9007	val_return=+97.62%	OOS=2.38
2026-03-11T15:28	RISK_BASE_LIMIT 0.30→0.32	val_sharpe=1.9022	val_return=+98.23%	OOS=2.39
2026-03-11T15:30	MOM_CONFIDENCE_SCALE 20→22	val_sharpe=1.9062	val_return=+98.34%	OOS=2.39
2026-03-11T15:35	MOM_CONFIDENCE_SCALE 22→24	val_sharpe=1.9107	val_return=+98.74%	OOS=2.39
2026-03-11T15:40	RISK_EXTREME_VOL_MULT 0.75→0.80	val_sharpe=1.9136	val_return=+98.95%	OOS=2.39
2026-03-13T21:18:32.781707	1.9136	2.9333	-17.67	98.95	4675
2026-03-13T21:18:35.524755	2.388	3.6453	-17.66	73.46	2406
2026-03-13T21:18:40.659198	-0.4229	-0.6458	-93.1	-82.25	4665
2026-03-13T21:18:45.535617	-0.4229	-0.6458	-93.1	-82.25	4476
2026-03-13T21:18:52.124955	-0.4229	-0.6458	-93.1	-82.25	5042
2026-03-13T21:18:58.287323	-0.4229	-0.6458	-93.1	-82.25	5742
2026-03-13T21:19:05.539992	-0.4229	-0.6458	-93.1	-82.25	6833
2026-03-13T21:19:10.623388	-0.4229	-0.6458	-93.1	-82.25	4646
2026-03-13T21:19:16.531343	1.9136	2.9333	-17.67	98.95	5515
2026-03-13T21:19:21.197363	1.9136	2.9333	-17.67	98.95	4284
2026-03-13T21:19:26.310411	1.9136	2.9333	-17.67	98.95	4782
2026-03-13T21:19:33.316769	1.9136	2.9333	-17.67	98.95	6595
2026-03-13T21:19:39.113860	1.9136	2.9333	-17.67	98.95	5381
2026-03-13T21:19:44.442262	1.9136	2.9333	-17.67	98.95	4938
2026-03-13T21:19:49.398696	1.9136	2.9333	-17.67	98.95	4579
2026-03-13T21:19:56.731242	1.9136	2.9333	-17.67	98.95	6912
2026-03-13T21:20:01.564049	1.9136	2.9333	-17.67	98.95	4392
2026-03-13T21:20:06.230789	1.9136	2.9333	-17.67	98.95	4311
2026-03-13T21:20:11.086414	1.9136	2.9333	-17.67	98.95	4484
2026-03-13T22:54:19.899317	1.8794	2.8648	-17.71	97.47	4808
2026-03-13T22:54:32.684060	1.914	2.9348	-17.41	96.52	4792
2026-03-13T22:54:45.738318	1.8696	2.8388	-17.68	97.23	4567
2026-03-13T22:54:57.244792	1.9136	2.9333	-17.67	98.95	4612
2026-03-13T22:55:19.074317	1.889	2.8817	-17.81	98.08	4646
2026-03-13T22:55:48.225850	1.9093	2.9262	-17.7	98.66	4638
2026-03-13T22:56:01.046096	1.8609	2.8244	-17.69	96.23	4481
2026-03-13T22:56:15.037957	1.9017	2.9104	-17.67	98.27	4370
2026-03-13T22:56:25.699304	1.9136	2.9333	-17.67	98.95	4563
2026-03-13T22:56:36.366255	1.9136	2.9333	-17.67	98.95	4951
2026-03-13T22:56:52.333381	1.917	2.9396	-17.67	99.16	4884
2026-03-13T22:57:00.048349	2.388	3.6453	-17.66	73.46	2566
2026-03-13T22:57	RISK_EXTREME_VOL_MULT 0.80→0.85	val_sharpe=1.917	val_return=+99.16%	OOS=2.39
2026-03-13T22:57:15.776676	1.9193	2.9442	-17.68	99.32	4698
2026-03-13T22:57:21.843572	2.388	3.6453	-17.66	73.46	2538
2026-03-13T22:57	RISK_EXTREME_VOL_MULT 0.85→0.90	val_sharpe=1.9193	val_return=+99.32%	OOS=2.39
2026-03-13T22:57:34.396376	1.9202	2.9454	-17.68	99.45	4824
2026-03-13T22:57:40.025338	2.388	3.6453	-17.66	73.46	2442
2026-03-13T22:57	RISK_EXTREME_VOL_MULT 0.90→0.95	val_sharpe=1.9202	val_return=+99.45%	OOS=2.39
