2026-03-11	baseline (tech params)	val_sharpe=0.9852	val_return=?	OOS=?
2026-03-11	RISK_BASE_LIMIT 0.30→0.38	val_sharpe=1.034	val_return=?	OOS=1.22
2026-03-13T23:24:14.091121	1.034	1.6677	-14.28	38.2	2722
2026-03-13T23:24:15.815646	1.2206	1.9706	-14.31	26.04	1392
2026-03-13T23:24:18.669883	1.0472	1.6817	-14.14	38.34	2523
2026-03-13T23:24:21.685093	1.0472	1.6817	-14.14	38.34	2643
2026-03-13T23:24:24.766436	1.0472	1.6817	-14.14	38.34	2571
2026-03-13T23:24:26.462157	1.22	1.9568	-14.14	25.69	1376
2026-03-13T23:24:29.336311	1.034	1.6677	-14.28	38.2	2524
2026-03-13T23:24:32.183633	1.034	1.6677	-14.28	38.2	2523
2026-03-13T23:24:35.028146	1.034	1.6677	-14.28	38.2	2524
2026-03-13T23:24:37.956261	1.034	1.6677	-14.28	38.2	2561
2026-03-13T23:24:40.826166	1.034	1.6677	-14.28	38.2	2542
2026-03-13T23:24:43.750044	1.034	1.6677	-14.28	38.2	2584
2026-03-13T23:24:46.661726	1.034	1.6677	-14.28	38.2	2576
2026-03-13T23:24:49.538149	1.034	1.6677	-14.28	38.2	2534
2026-03-13T23:24:52.464365	1.034	1.6677	-14.28	38.2	2603
2026-03-13T23:24:55.331984	0.982	1.5769	-14.32	36.56	2533
2026-03-13T23:24:58.210240	0.982	1.5769	-14.32	36.56	2550
2026-03-13T23:25:01.106865	0.982	1.5769	-14.32	36.56	2574
2026-03-13T23:25:04.005807	1.034	1.6677	-14.28	38.2	2562
2026-03-13T23:25:07.084380	1.034	1.6677	-14.28	38.2	2740
2026-03-13T23:25:10.020433	1.034	1.6677	-14.28	38.2	2595
2026-03-13T23:25:13.051819	1.0335	1.6703	-14.42	38.44	2698
2026-03-13T23:25:16.088235	1.0335	1.6703	-14.42	38.44	2711
2026-03-13T23:25:19.426870	1.0335	1.6703	-14.42	38.44	2989
2026-03-13T23:25:23.110214	1.034	1.6677	-14.28	38.2	2745
2026-03-13T23:25:26.054643	1.034	1.6677	-14.28	38.2	2607
2026-03-13T23:25:29.105286	1.034	1.6677	-14.28	38.2	2709
2026-03-13T23:25:32.168722	1.034	1.6677	-14.28	38.2	2705
2026-03-13T23:25:35.394075	1.034	1.6677	-14.28	38.2	2863
2026-03-13T23:25:38.402930	1.034	1.6677	-14.28	38.2	2626
2026-03-13T23:25:41.337947	1.0335	1.6703	-14.42	38.44	2578
2026-03-13T23:25:44.691871	1.0335	1.6703	-14.42	38.44	3020
2026-03-13T23:25:47.605309	1.0335	1.6703	-14.42	38.44	2539
2026-03-13T23:25:50.564078	1.034	1.6677	-14.28	38.2	2617
2026-03-13T23:25:53.456280	1.034	1.6677	-14.28	38.2	2566
2026-03-13T23:25:56.419296	1.034	1.6677	-14.28	38.2	2641
2026-03-13T23:25:59.349861	0.982	1.5769	-14.32	36.56	2573
2026-03-13T23:26:02.250187	0.982	1.5769	-14.32	36.56	2580
2026-03-13T23:26:05.132664	0.982	1.5769	-14.32	36.56	2556
2026-03-13T23:26:08.113473	1.034	1.6677	-14.28	38.2	2649
2026-03-13T23:26:11.162946	1.034	1.6677	-14.28	38.2	2683
2026-03-13T23:26:14.085282	1.034	1.6677	-14.28	38.2	2588
2026-03-13T23:26:17.017445	1.034	1.6677	-14.28	38.2	2602
2026-03-13T23:26:19.887838	1.034	1.6677	-14.28	38.2	2534
2026-03-13T23:26:22.727131	1.034	1.6677	-14.28	38.2	2521
2026-03-13T23:26:25.597692	1.0335	1.6703	-14.42	38.44	2547
2026-03-13T23:26:28.456900	1.0335	1.6703	-14.42	38.44	2530
2026-03-13T23:26:31.331587	1.0335	1.6703	-14.42	38.44	2549
2026-03-13T23:26:34.185170	1.034	1.6677	-14.28	38.2	2526
2026-03-13T23:26:37.061541	1.034	1.6677	-14.28	38.2	2550
2026-03-13T23:26:39.902020	1.034	1.6677	-14.28	38.2	2514
2026-03-13T23:26:42.810142	1.034	1.6677	-14.28	38.2	2573
2026-03-13T23:26:45.682868	1.034	1.6677	-14.28	38.2	2547
2026-03-13T23:26:48.556130	1.034	1.6677	-14.28	38.2	2551
2026-03-13T23:26:51.543964	1.034	1.6677	-14.28	38.2	2642
