2026-03-11T17:30	baseline (params.py)	val_sharpe=2.0241	val_return=+58.49%	OOS=1.41
2026-03-11T17:35	RISK_BASE_LIMIT 0.30→0.32	val_sharpe=2.0358	val_return=+59.97%	OOS=1.38
2026-03-13T21:49:10.553232	2.0358	3.3998	-8.48	59.97	4289
2026-03-13T21:49:13.258297	1.3841	2.1848	-8.65	21.27	2231
2026-03-13T21:49:17.727316	2.035	3.3975	-8.46	59.96	4137
2026-03-13T21:49:22.398572	2.035	3.3975	-8.46	59.96	4332
2026-03-13T21:49:27.711593	2.035	3.3975	-8.46	59.96	4894
2026-03-13T21:49:32.807109	2.0358	3.3998	-8.48	59.97	4595
2026-03-13T21:49:39.025541	2.0358	3.3998	-8.48	59.97	4860
2026-03-13T21:49:44.142214	2.0358	3.3998	-8.48	59.97	4621
2026-03-13T21:49:48.891627	2.0358	3.3998	-8.48	59.97	4377
2026-03-13T21:49:53.811164	2.0358	3.3998	-8.48	59.97	4586
2026-03-13T21:49:58.556173	2.0358	3.3998	-8.48	59.97	4393
2026-03-13T21:50:03.192087	2.0358	3.3998	-8.48	59.97	4247
2026-03-13T21:50:07.631483	2.0358	3.3998	-8.48	59.97	4104
2026-03-13T21:50:12.410667	2.0358	3.3998	-8.48	59.97	4448
2026-03-13T21:50:18.464188	2.0358	3.3998	-8.48	59.97	5689
2026-03-13T21:50:23.272394	2.0358	3.3998	-8.48	59.97	4414
2026-03-13T21:50:28.097816	2.0358	3.3998	-8.48	59.97	4493
2026-03-13T21:50:32.814376	2.0358	3.3998	-8.48	59.97	4216
2026-03-13T21:50:37.468092	2.0358	3.3998	-8.48	59.97	4337
2026-03-13T21:50:42.060337	2.0358	3.3998	-8.48	59.97	4227
2026-03-13T21:50:46.553900	2.0358	3.3998	-8.48	59.97	4140
2026-03-13T21:50:51.058606	2.0358	3.3998	-8.48	59.97	4173
2026-03-13T21:50:55.727360	2.0358	3.3998	-8.48	59.97	4348
2026-03-13T21:51:00.509300	2.0358	3.3998	-8.48	59.97	4343
2026-03-13T21:51:05.046379	2.0358	3.3998	-8.48	59.97	4207
2026-03-13T21:51:10.132783	2.0358	3.3998	-8.48	59.97	4670
2026-03-13T21:51:14.714004	0.7817	1.0472	-16.13	26.58	4243
2026-03-13T21:51:19.213229	0.7817	1.0472	-16.13	26.58	4160
2026-03-13T21:51:23.848351	0.7817	1.0472	-16.13	26.58	4307
2026-03-13T21:51:28.585836	2.0358	3.3998	-8.48	59.97	4366
2026-03-13T21:51:33.626180	2.0358	3.3998	-8.48	59.97	4703
2026-03-13T21:51:38.217489	2.0358	3.3998	-8.48	59.97	4233
2026-03-13T21:51:43.113992	2.0358	3.3998	-8.48	59.97	4529
2026-03-13T21:51:47.672056	2.0358	3.3998	-8.48	59.97	4204
2026-03-13T21:51:52.263529	2.0358	3.3998	-8.48	59.97	4265
2026-03-13T21:51:57.545863	2.0358	3.3998	-8.48	59.97	4844
2026-03-13T21:52:02.055823	2.0358	3.3998	-8.48	59.97	4182
2026-03-13T21:52:06.594900	2.0358	3.3998	-8.48	59.97	4211
2026-03-13T21:52:11.061667	2.0358	3.3998	-8.48	59.97	4123
2026-03-13T21:52:15.606402	2.0358	3.3998	-8.48	59.97	4197
2026-03-13T21:52:19.975710	2.0358	3.3998	-8.48	59.97	4050
2026-03-13T21:52:24.758057	2.0358	3.3998	-8.48	59.97	4427
2026-03-13T21:52:29.509941	2.0358	3.3998	-8.48	59.97	4389
2026-03-13T21:52:34.000758	2.0358	3.3998	-8.48	59.97	4156
2026-03-13T21:52:38.549281	2.0358	3.3998	-8.48	59.97	4161
2026-03-13T21:52:43.176792	2.0358	3.3998	-8.48	59.97	4282
2026-03-13T21:52:47.618276	2.0358	3.3998	-8.48	59.97	4094
2026-03-13T21:52:52.342150	0.7817	1.0472	-16.13	26.58	4373
2026-03-13T21:52:57.369013	0.7817	1.0472	-16.13	26.58	4634
2026-03-13T21:53:01.880226	0.7817	1.0472	-16.13	26.58	4173
2026-03-13T21:53:06.490182	2.0358	3.3998	-8.48	59.97	4270
2026-03-13T21:53:11.047736	2.0358	3.3998	-8.48	59.97	4220
2026-03-13T21:53:15.506264	2.0358	3.3998	-8.48	59.97	4118
2026-03-13T21:53:19.908568	2.0358	3.3998	-8.48	59.97	4065
2026-03-13T21:53:24.634342	2.0358	3.3998	-8.48	59.97	4370
2026-03-13T21:53:29.295702	2.0358	3.3998	-8.48	59.97	4306
2026-03-13T21:53:33.782986	2.0358	3.3998	-8.48	59.97	4145
2026-03-13T21:53:38.362852	2.0358	3.3998	-8.48	59.97	4260
2026-03-13T21:53:42.987640	2.0358	3.3998	-8.48	59.97	4267
2026-03-13T21:53:47.476211	1.9	3.1616	-8.53	55.75	4143
2026-03-13T21:53:53.796189	1.9	3.1616	-8.53	55.75	5966
2026-03-13T21:53:58.667931	1.9	3.1616	-8.53	55.75	4425
2026-03-13T21:54:03.621831	1.9	3.1616	-8.53	55.75	4472
2026-03-13T21:54:08.090428	1.9	3.1616	-8.53	55.75	4141
2026-03-13T21:54:12.530193	1.9	3.1616	-8.53	55.75	4113
2026-03-13T21:54:16.979421	2.0358	3.3998	-8.48	59.97	4090
2026-03-13T21:54:21.484731	2.0358	3.3998	-8.48	59.97	4169
